app_id,app_date,amount,rate_offered,term_months,status,payment_date,credit_score,risk_segment
APP-000104,2022-11-21,6400.0,0.1463,48,Default,,619,Subprime
APP-000105,2024-09-02,7700.0,0.1371,36,Paid,2027-09-05,651,Subprime
APP-000106,2024-02-05,8800.0,0.1527,24,Paid,2026-02-06,680,Near-Prime
APP-000107,2025-06-15,11800.0,0.2081,24,Paid,2027-06-17,754,Prime
APP-000108,2023-06-17,8300.0,0.1746,24,Paid,2025-06-18,668,Subprime
APP-000109,2023-01-10,8500.0,0.1762,24,Paid,2025-01-11,672,Subprime
APP-000110,2024-09-20,7900.0,0.2457,36,Paid,2027-09-23,656,Subprime
APP-000111,2022-09-06,4200.0,0.1452,24,Paid,2024-09-07,564,Subprime
APP-000112,2025-06-13,7900.0,0.2732,48,Paid,2029-06-16,658,Subprime
APP-000113,2025-01-27,8100.0,0.1464,36,Paid,2028-01-30,663,Subprime
APP-000114,2025-01-25,12900.0,0.1845,36,Paid,2028-01-28,783,Prime
APP-000115,2023-02-20,7600.0,0.1659,36,Default,,650,Subprime
APP-000116,2023-11-08,8600.0,0.1862,36,Paid,2026-11-10,675,Subprime
APP-000117,2025-02-01,7900.0,0.2022,36,Default,,658,Subprime
APP-000118,2023-12-12,5700.0,0.2017,24,Paid,2025-12-13,601,Subprime
APP-000119,2023-06-08,10300.0,0.1423,48,Paid,2027-06-11,717,Near-Prime
APP-000120,2025-01-24,9500.0,0.1239,36,Paid,2028-01-27,697,Near-Prime
APP-000121,2023-02-12,9600.0,0.3052,24,Paid,2025-02-13,699,Near-Prime
APP-000122,2024-04-10,6200.0,0.1558,36,Default,,614,Subprime
APP-000123,2025-05-14,10800.0,0.215,36,Paid,2028-05-16,730,Near-Prime
APP-000124,2023-10-16,5200.0,0.0996,36,Paid,2026-10-18,589,Subprime
APP-000125,2023-07-09,9200.0,0.166,48,Paid,2027-07-12,689,Near-Prime
APP-000126,2022-07-21,12400.0,0.1736,36,Paid,2025-07-23,769,Prime
APP-000127,2023-10-20,6000.0,0.2036,36,Paid,2026-10-22,610,Subprime
APP-000128,2025-02-25,6900.0,0.05,36,Paid,2028-02-28,631,Subprime
APP-000129,2022-12-11,8200.0,0.1883,48,Default,,664,Subprime
APP-000130,2024-03-02,7000.0,0.1225,36,Paid,2027-03-05,634,Subprime
APP-000131,2022-09-13,4900.0,0.1962,36,Paid,2025-09-15,582,Subprime
APP-000132,2025-06-03,8100.0,0.1282,36,Paid,2028-06-05,663,Subprime
APP-000133,2023-05-07,5900.0,0.1372,36,Paid,2026-05-09,606,Subprime
APP-000134,2024-12-13,8900.0,0.1663,24,Paid,2026-12-15,683,Near-Prime
APP-000135,2025-01-24,6200.0,0.1274,24,Paid,2027-01-26,614,Subprime
APP-000136,2025-02-10,11100.0,0.1562,48,Paid,2029-02-13,737,Near-Prime
APP-000137,2024-07-05,6400.0,0.1203,36,Paid,2027-07-08,620,Subprime
APP-000138,2024-12-16,7400.0,0.0883,36,Paid,2027-12-19,643,Subprime
APP-000139,2023-03-30,9600.0,0.2309,36,Paid,2026-04-01,700,Near-Prime
APP-000140,2023-06-21,5500.0,0.1152,36,Paid,2026-06-23,598,Subprime
APP-000141,2023-12-29,8500.0,0.1711,24,Paid,2025-12-30,671,Subprime
APP-000142,2023-01-12,10600.0,0.2176,24,Paid,2025-01-13,725,Near-Prime
APP-000143,2024-06-12,4800.0,0.1493,48,Paid,2028-06-15,579,Subprime
APP-000144,2023-07-25,8400.0,0.1387,36,Default,,669,Subprime
APP-000145,2024-06-27,8500.0,0.1913,36,Paid,2027-06-30,672,Subprime
APP-000146,2022-07-16,9600.0,0.2359,48,Paid,2026-07-19,699,Near-Prime
APP-000147,2024-03-26,5500.0,0.1215,36,Paid,2027-03-29,598,Subprime
APP-000148,2024-01-17,5400.0,0.1725,24,Paid,2026-01-18,593,Subprime
APP-000149,2022-08-01,9000.0,0.0934,24,Paid,2024-08-02,686,Near-Prime
APP-000150,2023-04-12,8600.0,0.1603,36,Paid,2026-04-14,674,Subprime
APP-000151,2023-12-24,8500.0,0.1817,48,Paid,2027-12-27,672,Subprime
APP-000152,2023-01-11,8700.0,0.1373,24,Paid,2025-01-12,677,Subprime
APP-000153,2023-01-16,6600.0,0.1572,24,Paid,2025-01-17,625,Subprime
APP-000154,2024-01-16,8500.0,0.1096,48,Paid,2028-01-19,671,Subprime
APP-000155,2024-04-02,8600.0,0.1839,24,Paid,2026-04-04,674,Subprime
APP-000156,2025-04-22,6600.0,0.2328,36,Paid,2028-04-24,624,Subprime
APP-000157,2024-04-17,11700.0,0.1251,24,Default,,753,Prime
APP-000158,2023-04-17,8900.0,0.1489,36,Paid,2026-04-19,683,Near-Prime
APP-000159,2023-08-14,5600.0,0.2051,36,Paid,2026-08-16,600,Subprime
APP-000160,2023-03-23,9300.0,0.2406,24,Paid,2025-03-24,692,Near-Prime
APP-000161,2023-04-13,6100.0,0.1053,36,Paid,2026-04-15,611,Subprime
APP-000162,2022-10-31,9600.0,0.1716,36,Paid,2025-11-02,699,Near-Prime
APP-000163,2024-01-31,10300.0,0.1942,36,Paid,2027-02-02,717,Near-Prime
APP-000164,2022-12-17,6400.0,0.1749,36,Paid,2025-12-19,618,Subprime
APP-000165,2023-05-18,9900.0,0.0562,36,Paid,2026-05-20,708,Near-Prime
APP-000166,2024-12-01,8800.0,0.2051,36,Paid,2027-12-04,680,Near-Prime
APP-000167,2023-09-01,9600.0,0.256,36,Paid,2026-09-03,701,Near-Prime
APP-000168,2024-08-04,11800.0,0.1858,36,Paid,2027-08-07,754,Prime
APP-000169,2025-05-13,7500.0,0.1284,36,Paid,2028-05-15,647,Subprime
APP-000170,2023-03-24,6500.0,0.1543,36,Paid,2026-03-26,622,Subprime
APP-000171,2024-02-07,6200.0,0.2685,24,Paid,2026-02-08,615,Subprime
APP-000172,2024-02-26,6400.0,0.2255,24,Paid,2026-02-27,619,Subprime
APP-000173,2024-10-27,7800.0,0.212,36,Default,,656,Subprime
APP-000174,2023-02-18,8700.0,0.1978,48,Paid,2027-02-21,677,Subprime
APP-000175,2024-06-14,8600.0,0.1469,48,Default,,673,Subprime
APP-000176,2025-05-29,9700.0,0.17,36,Paid,2028-05-31,701,Near-Prime
APP-000177,2025-07-02,8000.0,0.1761,36,Paid,2028-07-04,660,Subprime
APP-000178,2022-09-13,10900.0,0.2075,24,Paid,2024-09-14,732,Near-Prime
APP-000179,2024-05-22,7500.0,0.2554,48,Paid,2028-05-25,646,Subprime
APP-000180,2022-11-02,13400.0,0.2359,48,Paid,2026-11-05,796,Prime
APP-000181,2024-10-08,9300.0,0.109,24,Paid,2026-10-10,691,Near-Prime
APP-000182,2025-01-23,6300.0,0.1912,48,Paid,2029-01-26,617,Subprime
APP-000183,2025-05-24,5900.0,0.2168,36,Paid,2028-05-26,606,Subprime
APP-000184,2023-09-18,9000.0,0.2109,36,Paid,2026-09-20,684,Near-Prime
APP-000185,2024-06-21,7600.0,0.1485,36,Paid,2027-06-24,648,Subprime
APP-000186,2023-08-05,9400.0,0.3257,36,Paid,2026-08-07,695,Near-Prime
APP-000187,2024-04-08,8900.0,0.1161,48,Paid,2028-04-11,683,Near-Prime
APP-000188,2024-04-08,7900.0,0.1258,24,Paid,2026-04-10,656,Subprime
APP-000189,2025-02-03,6300.0,0.1917,36,Paid,2028-02-06,617,Subprime
APP-000190,2025-06-12,5000.0,0.2858,36,Default,,584,Subprime
APP-000191,2024-03-11,7100.0,0.1382,36,Paid,2027-03-14,637,Subprime
APP-000192,2024-07-09,9700.0,0.1667,36,Default,,702,Near-Prime
APP-000193,2024-04-28,8400.0,0.2339,36,Paid,2027-05-01,670,Subprime
APP-000194,2024-04-02,5500.0,0.1791,36,Default,,597,Subprime
APP-000195,2023-04-22,8300.0,0.1633,36,Paid,2026-04-24,668,Subprime
APP-000196,2022-11-14,8800.0,0.2083,36,Default,,679,Subprime
APP-000197,2023-09-20,6200.0,0.1936,36,Paid,2026-09-22,615,Subprime
APP-000198,2024-02-08,8300.0,0.2315,36,Paid,2027-02-10,667,Subprime
APP-000199,2023-06-13,8100.0,0.2446,24,Paid,2025-06-14,662,Subprime
APP-000200,2022-10-23,5700.0,0.1954,36,Paid,2025-10-25,602,Subprime
APP-000201,2023-09-03,8700.0,0.1946,24,Paid,2025-09-04,677,Subprime
APP-000202,2022-08-24,9100.0,0.1907,24,Paid,2024-08-25,688,Near-Prime
APP-000203,2025-06-23,10200.0,0.2045,36,Default,,714,Near-Prime
APP-000204,2022-09-12,10100.0,0.1828,24,Paid,2024-09-13,712,Near-Prime
APP-000205,2024-06-16,5200.0,0.18,36,Paid,2027-06-19,591,Subprime
APP-000206,2023-06-18,6100.0,0.2398,48,Paid,2027-06-21,613,Subprime
APP-000207,2023-03-10,9000.0,0.2558,24,Paid,2025-03-11,685,Near-Prime
APP-000208,2025-04-15,9000.0,0.1046,48,Paid,2029-04-18,685,Near-Prime
APP-000209,2024-09-07,9000.0,0.1805,24,Paid,2026-09-09,685,Near-Prime
APP-000210,2023-01-02,15700.0,0.1456,36,Paid,2026-01-04,800,Prime
APP-000211,2022-12-03,9100.0,0.1645,36,Paid,2025-12-05,688,Near-Prime
APP-000212,2025-01-27,10300.0,0.2001,48,Paid,2029-01-30,716,Near-Prime
APP-000213,2022-10-01,9900.0,0.2135,24,Paid,2024-10-02,707,Near-Prime
APP-000214,2024-12-04,9300.0,0.1744,36,Paid,2027-12-07,692,Near-Prime
APP-000215,2024-12-26,7400.0,0.0843,24,Paid,2026-12-28,644,Subprime
APP-000216,2023-08-30,9500.0,0.1317,36,Paid,2026-09-01,697,Near-Prime
APP-000217,2023-05-09,6500.0,0.2248,48,Paid,2027-05-12,621,Subprime
APP-000218,2024-11-25,7500.0,0.05,48,Paid,2028-11-28,648,Subprime
APP-000219,2023-07-19,7000.0,0.2394,36,Paid,2026-07-21,635,Subprime
APP-000220,2023-09-23,8200.0,0.2061,36,Paid,2026-09-25,664,Subprime
APP-000221,2025-01-02,12600.0,0.2458,48,Paid,2029-01-05,775,Prime
APP-000222,2023-05-12,4300.0,0.1701,36,Paid,2026-05-14,566,Subprime
APP-000223,2023-04-29,9400.0,0.0769,24,Paid,2025-04-30,694,Near-Prime
APP-000224,2023-09-11,4800.0,0.2015,48,Paid,2027-09-14,579,Subprime
APP-000225,2024-03-13,7100.0,0.2437,36,Paid,2027-03-16,636,Subprime
APP-000226,2024-02-10,10200.0,0.2262,24,Default,,714,Near-Prime
APP-000227,2024-09-27,8100.0,0.1469,24,Paid,2026-09-29,663,Subprime
APP-000228,2025-03-01,5800.0,0.1843,36,Paid,2028-03-03,606,Subprime
APP-000229,2024-02-07,6600.0,0.1534,36,Paid,2027-02-09,624,Subprime
APP-000230,2024-10-07,9400.0,0.139,36,Default,,693,Near-Prime
APP-000231,2025-06-10,6500.0,0.2278,36,Paid,2028-06-12,623,Subprime
APP-000232,2024-06-12,8400.0,0.1201,48,Paid,2028-06-15,670,Subprime
APP-000233,2024-11-16,8100.0,0.1353,48,Paid,2028-11-19,662,Subprime
APP-000234,2023-06-29,6700.0,0.1248,36,Paid,2026-07-01,627,Subprime
APP-000235,2023-10-30,12300.0,0.1055,48,Paid,2027-11-02,767,Prime
APP-000236,2023-11-23,9300.0,0.1873,48,Paid,2027-11-26,691,Near-Prime
APP-000237,2023-03-10,3900.0,0.2381,36,Paid,2026-03-12,558,Subprime
APP-000238,2023-02-09,8400.0,0.1708,36,Paid,2026-02-11,669,Subprime
APP-000239,2023-06-22,6700.0,0.1047,36,Paid,2026-06-24,626,Subprime
APP-000240,2023-10-06,9700.0,0.222,24,Paid,2025-10-07,702,Near-Prime
APP-000241,2024-12-19,6400.0,0.2643,36,Default,,620,Subprime
APP-000242,2023-01-11,7800.0,0.1477,36,Paid,2026-01-13,654,Subprime
APP-000243,2024-07-06,9000.0,0.1561,24,Paid,2026-07-08,685,Near-Prime
APP-000244,2023-05-29,9700.0,0.2058,24,Paid,2025-05-30,703,Near-Prime
APP-000245,2023-08-01,5600.0,0.2611,36,Default,,599,Subprime
APP-000246,2023-12-09,7300.0,0.154,36,Paid,2026-12-11,643,Subprime
APP-000247,2023-07-22,7100.0,0.1134,48,Paid,2027-07-25,636,Subprime
APP-000248,2024-10-02,6700.0,0.2116,36,Default,,627,Subprime
APP-000249,2022-10-29,11500.0,0.22,36,Paid,2025-10-31,748,Near-Prime
APP-000250,2024-02-13,8800.0,0.1803,36,Paid,2027-02-15,680,Near-Prime
APP-000251,2023-02-01,5500.0,0.1521,24,Paid,2025-02-02,596,Subprime
APP-000252,2022-07-10,9800.0,0.2297,24,Default,,705,Near-Prime
APP-000253,2023-07-22,12200.0,0.2064,48,Paid,2027-07-25,766,Prime
APP-000254,2023-07-25,10100.0,0.1416,36,Paid,2026-07-27,711,Near-Prime
APP-000255,2024-07-13,5000.0,0.1825,48,Paid,2028-07-16,584,Subprime
APP-000256,2022-12-12,7000.0,0.1124,36,Paid,2025-12-14,635,Subprime
APP-000257,2023-06-01,10500.0,0.2143,24,Paid,2025-06-02,723,Near-Prime
APP-000258,2024-11-19,6600.0,0.1669,36,Paid,2027-11-22,624,Subprime
APP-000259,2022-08-24,8900.0,0.1582,36,Paid,2025-08-26,682,Near-Prime
APP-000260,2024-05-05,9500.0,0.1784,36,Paid,2027-05-08,698,Near-Prime
APP-000261,2024-02-05,6100.0,0.182,36,Paid,2027-02-07,613,Subprime
APP-000262,2025-05-06,7900.0,0.2247,48,Paid,2029-05-09,657,Subprime
APP-000263,2023-02-14,1500.0,0.2096,48,Paid,2027-02-17,500,Subprime
APP-000264,2024-04-07,6000.0,0.1722,48,Paid,2028-04-10,608,Subprime
APP-000265,2023-07-16,7500.0,0.2182,24,Paid,2025-07-17,647,Subprime
APP-000266,2023-09-07,5500.0,0.2,24,Paid,2025-09-08,597,Subprime
APP-000267,2023-02-02,11300.0,0.1587,24,Paid,2025-02-03,741,Near-Prime
APP-000268,2024-02-01,5100.0,0.1738,36,Paid,2027-02-03,588,Subprime
APP-000269,2023-12-09,7100.0,0.1726,36,Paid,2026-12-11,637,Subprime
APP-000270,2023-09-20,8300.0,0.2053,36,Paid,2026-09-22,666,Subprime
APP-000271,2023-05-14,10900.0,0.1616,36,Paid,2026-05-16,732,Near-Prime
APP-000272,2024-08-25,5100.0,0.1605,48,Paid,2028-08-28,588,Subprime
APP-000273,2023-07-23,10300.0,0.2784,48,Paid,2027-07-26,718,Near-Prime
APP-000274,2022-12-28,8000.0,0.227,24,Paid,2024-12-29,660,Subprime
APP-000275,2023-10-13,6000.0,0.142,48,Paid,2027-10-16,610,Subprime
APP-000276,2025-05-01,8900.0,0.2085,36,Paid,2028-05-03,683,Near-Prime
APP-000277,2024-04-11,8400.0,0.1859,36,Paid,2027-04-14,669,Subprime
APP-000278,2024-01-31,6800.0,0.1996,48,Paid,2028-02-03,629,Subprime
APP-000279,2023-03-26,8100.0,0.1869,24,Paid,2025-03-27,663,Subprime
APP-000280,2022-08-29,7200.0,0.2395,48,Paid,2026-09-01,640,Subprime
APP-000281,2023-03-25,8200.0,0.1973,36,Paid,2026-03-27,665,Subprime
APP-000282,2023-07-31,9300.0,0.1769,48,Default,,693,Near-Prime
APP-000283,2023-06-26,11200.0,0.2321,48,Paid,2027-06-29,739,Near-Prime
APP-000284,2025-01-20,5500.0,0.1917,36,Paid,2028-01-23,598,Subprime
APP-000285,2024-11-16,12300.0,0.1861,24,Paid,2026-11-18,766,Prime
APP-000286,2024-07-12,4100.0,0.1957,24,Paid,2026-07-14,562,Subprime
APP-000287,2024-08-06,7700.0,0.1753,36,Paid,2027-08-09,652,Subprime
APP-000288,2023-03-26,9200.0,0.1805,24,Paid,2025-03-27,689,Near-Prime
APP-000289,2024-03-28,8600.0,0.1507,48,Paid,2028-03-31,674,Subprime
APP-000290,2023-11-05,6800.0,0.1424,36,Paid,2026-11-07,628,Subprime
APP-000291,2023-04-06,7600.0,0.1301,48,Paid,2027-04-09,649,Subprime
APP-000292,2022-07-07,7000.0,0.1104,36,Paid,2025-07-09,635,Subprime
APP-000293,2024-05-31,6800.0,0.136,24,Paid,2026-06-02,630,Subprime
APP-000294,2022-08-24,9700.0,0.1713,36,Paid,2025-08-26,702,Near-Prime
APP-000295,2022-07-14,8700.0,0.1852,36,Paid,2025-07-16,677,Subprime
APP-000296,2023-09-19,6600.0,0.1664,36,Paid,2026-09-21,625,Subprime
APP-000297,2023-12-03,9800.0,0.0622,36,Paid,2026-12-05,704,Near-Prime
APP-000298,2023-12-23,8600.0,0.2587,24,Paid,2025-12-24,675,Subprime
APP-000299,2024-07-03,9600.0,0.2343,36,Paid,2027-07-06,700,Near-Prime
APP-000300,2024-09-30,9300.0,0.2023,36,Paid,2027-10-03,691,Near-Prime
APP-000301,2025-02-23,6300.0,0.2754,48,Paid,2029-02-26,618,Subprime
APP-000302,2023-06-14,6900.0,0.1311,48,Paid,2027-06-17,631,Subprime
APP-000303,2024-10-06,9500.0,0.2744,24,Paid,2026-10-08,697,Near-Prime
APP-000304,2025-01-15,9200.0,0.1317,24,Paid,2027-01-17,690,Near-Prime
APP-000305,2023-01-30,8000.0,0.1919,36,Paid,2026-02-01,658,Subprime
APP-000306,2023-12-08,8200.0,0.1163,48,Paid,2027-12-11,665,Subprime
APP-000307,2025-06-25,10600.0,0.1807,36,Paid,2028-06-27,723,Near-Prime
APP-000308,2023-04-28,6800.0,0.1993,36,Paid,2026-04-30,630,Subprime
APP-000309,2024-04-28,9100.0,0.1723,24,Paid,2026-04-30,687,Near-Prime
APP-000310,2023-04-11,7600.0,0.2157,36,Paid,2026-04-13,649,Subprime
APP-000311,2023-05-20,7600.0,0.185,36,Paid,2026-05-22,649,Subprime
APP-000312,2024-11-05,10200.0,0.1539,36,Paid,2027-11-08,714,Near-Prime
APP-000313,2025-06-29,9700.0,0.1517,36,Paid,2028-07-01,701,Near-Prime
APP-000314,2023-12-21,9600.0,0.2205,36,Paid,2026-12-23,700,Near-Prime
APP-000315,2023-05-03,10600.0,0.1473,24,Paid,2025-05-04,725,Near-Prime
APP-000316,2023-04-07,8000.0,0.2258,36,Paid,2026-04-09,661,Subprime
APP-000317,2024-02-22,9400.0,0.2411,48,Paid,2028-02-25,694,Near-Prime
APP-000318,2023-05-01,7400.0,0.0966,36,Paid,2026-05-03,644,Subprime
APP-000319,2023-02-08,8600.0,0.2366,48,Paid,2027-02-11,676,Subprime
APP-000320,2023-07-23,7700.0,0.283,36,Paid,2026-07-25,653,Subprime
APP-000321,2023-07-01,8200.0,0.1926,36,Paid,2026-07-03,664,Subprime
APP-000322,2023-07-29,9200.0,0.21,24,Paid,2025-07-30,689,Near-Prime
APP-000323,2023-01-21,6400.0,0.2319,36,Paid,2026-01-23,619,Subprime
APP-000324,2025-05-18,12200.0,0.1662,36,Paid,2028-05-20,764,Prime
APP-000325,2023-03-15,6000.0,0.1891,36,Paid,2026-03-17,609,Subprime
APP-000326,2023-04-20,5600.0,0.1143,48,Default,,599,Subprime
